File,Soiling Weight,STC Power,Status,Status2,SD,SR,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,count12,count13,count14,count15,count16
IMG_7360,0,290,Clear,0,212.6169736,0.000252834,0.009026029,0.023719563,0.005037783,0.215785055,0.01070529,0,0.01154492,0.353904282,0.069059614,0,0,0.193744752,0,0,0,0.107472712
IMG_7361,0,290,Clear,0,204.6267156,0.001229311,0.011908336,0.083458421,0.06074252,0.175422796,0,0,0,0.226558591,0.037626338,0.002101471,0.007705394,0.24517162,0.012808966,0.00030021,0.005103573,0.131091764
IMG_7367,0,286,Clear,0,241.0802424,0.000559316,0,0.032492022,0.046707282,0.13954163,0,0.008123006,0.028720627,0.222802437,0.077748767,0.007832898,0.014795474,0.215549753,0.046997389,0,0,0.158688715
IMG_7368,0,286,Clear,0,230.4681441,0.002786425,0.074485557,0.025408173,0.015167617,0.136411941,0.092358226,0,0.002801662,0.141339001,0.036421602,0,0.002705053,0.233697227,0.027340354,0.002898271,0.002318617,0.206646701
IMG_7369,0,286,Clear,0,247.8417904,0.000594352,0,0.058521155,0.036905233,0.175299855,0.030710426,0,0.003558719,0.295900883,0.062738895,0,0,0.25029656,0.012653223,0.003690523,0.003163306,0.066561223
IMG_7370,0,286,Clear,0,215.959849,0.002763882,0,0.083787529,0.060877598,0.198706697,0.016720554,0,0.002771363,0.183002309,0.012378753,0,0.009884527,0.231685912,0.024203233,0.007205543,0.010993072,0.15778291
IMG_7375,0,285,Clear,0,261.0019528,0.001136771,0.013798594,0.072707974,0.046172217,0.169828844,0.081730131,0,0.007828048,0.205386759,0.108000531,0.006899297,0.006633939,0.113440361,0.015390739,0.007430012,0.01963646,0.125116094
IMG_7376,0,285,Clear,0,261.2768955,0.001029783,0.004474899,0.082645784,0.060690812,0.054118305,0,0.003915536,0.00727171,0.224304293,0.082086421,0.003216333,0,0.311564816,0.017060551,0,0.003915536,0.144735002
IMG_7377,0,285,Clear,0,229.3293179,0.001055414,0.006892697,0.138785395,0.015648286,0.043591654,0,0,0.004470939,0.279247392,0.097801788,0,0,0.230625931,0.005961252,0,0.004098361,0.172876304
IMG_7378,0,285,Clear,0,245.4380962,0.002630627,0.064109691,0.108671484,0.044376505,0.091532333,0.180841208,0,0.00250139,0.169445989,0.057624606,0,0,0.102001112,0,0.004817491,0.002223457,0.171854734
IMG_7379,0,285,Clear,0,245.819636,0.001006728,0,0.13760218,0.033605813,0.084241599,0,0,0.011580381,0.168256131,0.089918256,0.006811989,0,0.150999092,0.063578565,0.004995459,0.005449591,0.242960945
IMG_7380,0,285,Clear,0,208.1362404,0.002148435,0.012415622,0.078953713,0.024831244,0.142839923,0,0,0,0.172854388,0.070877531,0,0,0.2524108,0.011933462,0.003254581,0.003134041,0.226494696
IMG_7385,0,286,Clear,0,249.3702821,0.001758912,0.030580005,0.116903633,0.052358384,0.141051681,0,0,0.005754909,0.238885128,0.059016023,0,0,0.171518845,0.026066351,0.01512074,0.008237418,0.134506883
IMG_7391,0,280,Clear,0,250.0622093,0.001869795,0.000240616,0.151227141,0.067733397,0.119826756,0.000360924,0,0.002526468,0.249639076,0.059071222,0,0.006135707,0.127165544,0.021053898,0.012151107,0.003128008,0.179740135
IMG_7392,0,280,Clear,0,256.4930716,0.001754626,0,0.123770688,0.073758695,0.181818182,0,0.006236508,0,0.236027824,0.042096426,0.003597985,0,0.165747182,0.017390261,0.006836172,0.003118254,0.139601823
IMG_7397,5,272,Clear,0,249.9118747,0.001896675,0.023238095,0.082095238,0.057238095,0.121904762,0.145047619,0.002095238,0.002380952,0.213333333,0.054,0.002380952,0.007142857,0.155238095,0.007142857,0,0.004666667,0.122095238
IMG_7398,5,272,Clear,0,142.1957242,0.02325505,0.020515589,0.145138795,0.043618122,0.007783327,0.048387097,0.250956044,0.137355469,0.030188509,0.010505241,0.076056148,0.103050344,0.024362262,0.004858955,0.02204526,0.041413596,0.03376524
IMG_7399,5,272,Clear,0,156.438438,0.028585501,0.028090852,0.129240803,0.038865686,0.020538932,0.071457177,0.221408547,0.124072697,0.030188607,0.014264737,0.072410702,0.092549154,0.038865686,0.003299197,0.021492458,0.040410397,0.052844366
IMG_7404,5,271,Clear,0,149.0795361,0.022259159,0.025804131,0.178628425,0.093259008,0.007529951,0.054957405,0.184337701,0.131515656,0.047899481,0.007035447,0.042909483,0.083593697,0.072220099,0.000561937,0.007844636,0.03654836,0.025354582
